id,status,kind,path
2203.01765,done,tex,/home/hex/tayf/research/papers/tmp/src/2203.01765
2201.11795,done,tex,/home/hex/tayf/research/papers/tmp/src/2201.11795
2203.12467,done,tex,/home/hex/tayf/research/papers/tmp/src/2203.12467
2201.03319,done,tex,/home/hex/tayf/research/papers/tmp/src/2201.03319
2202.04147,done,tex,/home/hex/tayf/research/papers/tmp/src/2202.04147
2203.02202,done,tex,/home/hex/tayf/research/papers/tmp/src/2203.02202
2203.04963,done,tex,/home/hex/tayf/research/papers/tmp/src/2203.04963
2202.00719,done,tex,/home/hex/tayf/research/papers/tmp/src/2202.00719
2202.06533,done,tex,/home/hex/tayf/research/papers/tmp/src/2202.06533
2201.08266,error,,
2201.09658,error,,
2202.00198,done,tex,/home/hex/tayf/research/papers/tmp/src/2202.00198
2203.03553,done,tex,/home/hex/tayf/research/papers/tmp/src/2203.03553
2202.08650,done,tex,/home/hex/tayf/research/papers/tmp/src/2202.08650
2204.05043,done,tex,/home/hex/tayf/research/papers/tmp/src/2204.05043
2202.02527,done,tex,/home/hex/tayf/research/papers/tmp/src/2202.02527
2204.00884,done,tex,/home/hex/tayf/research/papers/tmp/src/2204.00884
2202.11138,done,tex,/home/hex/tayf/research/papers/tmp/src/2202.11138
2204.09055,done,tex,/home/hex/tayf/research/papers/tmp/src/2204.09055
2203.05822,done,tex,/home/hex/tayf/research/papers/tmp/src/2203.05822
2201.07785,done,tex,/home/hex/tayf/research/papers/tmp/src/2201.07785
2203.16357,done,tex,/home/hex/tayf/research/papers/tmp/src/2203.16357
2202.10572,done,tex,/home/hex/tayf/research/papers/tmp/src/2202.10572
2204.10587,done,tex,/home/hex/tayf/research/papers/tmp/src/2204.10587
2203.06784,done,tex,/home/hex/tayf/research/papers/tmp/src/2203.06784
2202.13668,done,pdf,/home/hex/tayf/research/papers/tmp/txt/2202.13668.txt
2203.05890,done,tex,/home/hex/tayf/research/papers/tmp/src/2203.05890
2203.09208,done,tex,/home/hex/tayf/research/papers/tmp/src/2203.09208
2204.04005,done,pdf,/home/hex/tayf/research/papers/tmp/txt/2204.04005.txt
2202.01597,done,tex,/home/hex/tayf/research/papers/tmp/src/2202.01597
2202.07873,done,pdf,/home/hex/tayf/research/papers/tmp/txt/2202.07873.txt
2202.07513,done,tex,/home/hex/tayf/research/papers/tmp/src/2202.07513
2202.10837,done,pdf,/home/hex/tayf/research/papers/tmp/txt/2202.10837.txt
2202.09081,done,tex,/home/hex/tayf/research/papers/tmp/src/2202.09081
2204.06913,done,tex,/home/hex/tayf/research/papers/tmp/src/2204.06913
2203.07332,done,pdf,/home/hex/tayf/research/papers/tmp/txt/2203.07332.txt
2204.09724,done,tex,/home/hex/tayf/research/papers/tmp/src/2204.09724
2205.06511,done,tex,/home/hex/tayf/research/papers/tmp/src/2205.06511
2202.04365,done,tex,/home/hex/tayf/research/papers/tmp/src/2202.04365
2201.09347,done,pdf,/home/hex/tayf/research/papers/tmp/txt/2201.09347.txt
2203.08875,done,tex,/home/hex/tayf/research/papers/tmp/src/2203.08875
2205.10501,done,tex,/home/hex/tayf/research/papers/tmp/src/2205.10501
2201.10912,done,pdf,/home/hex/tayf/research/papers/tmp/txt/2201.10912.txt
2206.03468,done,tex,/home/hex/tayf/research/papers/tmp/src/2206.03468
2203.16603,done,pdf,/home/hex/tayf/research/papers/tmp/txt/2203.16603.txt
2203.13467,done,tex,/home/hex/tayf/research/papers/tmp/src/2203.13467
2205.05144,done,tex,/home/hex/tayf/research/papers/tmp/src/2205.05144
2204.01023,done,tex,/home/hex/tayf/research/papers/tmp/src/2204.01023
2205.15941,done,tex,/home/hex/tayf/research/papers/tmp/src/2205.15941
2202.07801,done,tex,/home/hex/tayf/research/papers/tmp/src/2202.07801
2202.00172,done,tex,/home/hex/tayf/research/papers/tmp/src/2202.00172
2204.08965,done,tex,/home/hex/tayf/research/papers/tmp/src/2204.08965
2205.07062,done,tex,/home/hex/tayf/research/papers/tmp/src/2205.07062
2206.10083,done,tex,/home/hex/tayf/research/papers/tmp/src/2206.10083
